Election District,County,Borough,Assembly District,City Council District
048/42,Kings,Brooklyn,42,45
049/42,Kings,Brooklyn,42,45
050/42,Kings,Brooklyn,42,45
051/42,Kings,Brooklyn,42,45
052/42,Kings,Brooklyn,42,45
053/42,Kings,Brooklyn,42,45
054/42,Kings,Brooklyn,42,45
055/42,Kings,Brooklyn,42,45
056/42,Kings,Brooklyn,42,45
057/42,Kings,Brooklyn,42,45
058/42,Kings,Brooklyn,42,45
059/42,Kings,Brooklyn,42,48
060/42,Kings,Brooklyn,42,45
061/42,Kings,Brooklyn,42,45
062/42,Kings,Brooklyn,42,45
063/42,Kings,Brooklyn,42,45
064/42,Kings,Brooklyn,42,45
065/42,Kings,Brooklyn,42,45
066/42,Kings,Brooklyn,42,48
067/42,Kings,Brooklyn,42,48
068/42,Kings,Brooklyn,42,40
069/42,Kings,Brooklyn,42,45
070/42,Kings,Brooklyn,42,40
071/42,Kings,Brooklyn,42,45
072/42,Kings,Brooklyn,42,40
073/42,Kings,Brooklyn,42,45
074/42,Kings,Brooklyn,42,45
075/42,Kings,Brooklyn,42,40
076/42,Kings,Brooklyn,42,40
077/42,Kings,Brooklyn,42,40
078/42,Kings,Brooklyn,42,40
079/42,Kings,Brooklyn,42,40
080/42,Kings,Brooklyn,42,45
081/42,Kings,Brooklyn,42,45
082/42,Kings,Brooklyn,42,45
001/43,Kings,Brooklyn,43,40
002/43,Kings,Brooklyn,43,40
003/43,Kings,Brooklyn,43,40
004/43,Kings,Brooklyn,43,40
005/43,Kings,Brooklyn,43,40
006/43,Kings,Brooklyn,43,40
007/43,Kings,Brooklyn,43,40
008/43,Kings,Brooklyn,43,40
009/43,Kings,Brooklyn,43,40
010/43,Kings,Brooklyn,43,40
011/43,Kings,Brooklyn,43,40
012/43,Kings,Brooklyn,43,36
013/43,Kings,Brooklyn,43,35
014/43,Kings,Brooklyn,43,40
015/43,Kings,Brooklyn,43,40
016/43,Kings,Brooklyn,43,40
017/43,Kings,Brooklyn,43,40
018/43,Kings,Brooklyn,43,40
019/43,Kings,Brooklyn,43,40
020/43,Kings,Brooklyn,43,40
021/43,Kings,Brooklyn,43,40
022/43,Kings,Brooklyn,43,40
023/43,Kings,Brooklyn,43,40
024/43,Kings,Brooklyn,43,40
025/43,Kings,Brooklyn,43,40
026/43,Kings,Brooklyn,43,40
027/43,Kings,Brooklyn,43,40
028/43,Kings,Brooklyn,43,40
029/43,Kings,Brooklyn,43,40
030/43,Kings,Brooklyn,43,40
031/43,Kings,Brooklyn,43,40
032/43,Kings,Brooklyn,43,40
033/43,Kings,Brooklyn,43,40
034/43,Kings,Brooklyn,43,40
035/43,Kings,Brooklyn,43,35
036/43,Kings,Brooklyn,43,35
037/43,Kings,Brooklyn,43,35
038/43,Kings,Brooklyn,43,35
039/43,Kings,Brooklyn,43,35
040/43,Kings,Brooklyn,43,35
041/43,Kings,Brooklyn,43,35
042/43,Kings,Brooklyn,43,35
043/43,Kings,Brooklyn,43,35
044/43,Kings,Brooklyn,43,35
045/43,Kings,Brooklyn,43,36
046/43,Kings,Brooklyn,43,36
047/43,Kings,Brooklyn,43,36
048/43,Kings,Brooklyn,43,36
049/43,Kings,Brooklyn,43,36
050/43,Kings,Brooklyn,43,36
051/43,Kings,Brooklyn,43,35
052/43,Kings,Brooklyn,43,41
053/43,Kings,Brooklyn,43,40
054/43,Kings,Brooklyn,43,41
055/43,Kings,Brooklyn,43,40
056/43,Kings,Brooklyn,43,41
057/43,Kings,Brooklyn,43,35
058/43,Kings,Brooklyn,43,35
059/43,Kings,Brooklyn,43,35
060/43,Kings,Brooklyn,43,35
061/43,Kings,Brooklyn,43,35
062/43,Kings,Brooklyn,43,35
063/43,Kings,Brooklyn,43,35
064/43,Kings,Brooklyn,43,35
065/43,Kings,Brooklyn,43,35
066/43,Kings,Brooklyn,43,41
067/43,Kings,Brooklyn,43,41
068/43,Kings,Brooklyn,43,41
069/43,Kings,Brooklyn,43,41
070/43,Kings,Brooklyn,43,41
071/43,Kings,Brooklyn,43,41
072/43,Kings,Brooklyn,43,36
073/43,Kings,Brooklyn,43,40
074/43,Kings,Brooklyn,43,40
075/43,Kings,Brooklyn,43,40
076/43,Kings,Brooklyn,43,41
077/43,Kings,Brooklyn,43,35
078/43,Kings,Brooklyn,43,40
079/43,Kings,Brooklyn,43,41
080/43,Kings,Brooklyn,43,40
081/43,Kings,Brooklyn,43,40
082/43,Kings,Brooklyn,43,40
083/43,Kings,Brooklyn,43,40
084/43,Kings,Brooklyn,43,35
085/43,Kings,Brooklyn,43,35
086/43,Kings,Brooklyn,43,35
087/43,Kings,Brooklyn,43,36
001/44,Kings,Brooklyn,44,39
002/44,Kings,Brooklyn,44,39
003/44,Kings,Brooklyn,44,39
004/44,Kings,Brooklyn,44,39
005/44,Kings,Brooklyn,44,39
006/44,Kings,Brooklyn,44,39
007/44,Kings,Brooklyn,44,39
008/44,Kings,Brooklyn,44,39
009/44,Kings,Brooklyn,44,40
010/44,Kings,Brooklyn,44,39
011/44,Kings,Brooklyn,44,39
012/44,Kings,Brooklyn,44,38
013/44,Kings,Brooklyn,44,39
014/44,Kings,Brooklyn,44,39
015/44,Kings,Brooklyn,44,39
016/44,Kings,Brooklyn,44,39
017/44,Kings,Brooklyn,44,39
018/44,Kings,Brooklyn,44,39
019/44,Kings,Brooklyn,44,39
020/44,Kings,Brooklyn,44,39
021/44,Kings,Brooklyn,44,44
022/44,Kings,Brooklyn,44,44
023/44,Kings,Brooklyn,44,44
024/44,Kings,Brooklyn,44,44
025/44,Kings,Brooklyn,44,44
026/44,Kings,Brooklyn,44,45
027/44,Kings,Brooklyn,44,45
028/44,Kings,Brooklyn,44,40
029/44,Kings,Brooklyn,44,40
030/44,Kings,Brooklyn,44,40
031/44,Kings,Brooklyn,44,45
032/44,Kings,Brooklyn,44,45
033/44,Kings,Brooklyn,44,40
034/44,Kings,Brooklyn,44,40
035/44,Kings,Brooklyn,44,40
036/44,Kings,Brooklyn,44,40
037/44,Kings,Brooklyn,44,40
038/44,Kings,Brooklyn,44,40
039/44,Kings,Brooklyn,44,40
040/44,Kings,Brooklyn,44,40
041/44,Kings,Brooklyn,44,40
042/44,Kings,Brooklyn,44,39
043/44,Kings,Brooklyn,44,40
044/44,Kings,Brooklyn,44,39
045/44,Kings,Brooklyn,44,39
046/44,Kings,Brooklyn,44,40
047/44,Kings,Brooklyn,44,40
048/44,Kings,Brooklyn,44,40
049/44,Kings,Brooklyn,44,39
050/44,Kings,Brooklyn,44,39
051/44,Kings,Brooklyn,44,39
052/44,Kings,Brooklyn,44,39
053/44,Kings,Brooklyn,44,39
054/44,Kings,Brooklyn,44,39
055/44,Kings,Brooklyn,44,39
056/44,Kings,Brooklyn,44,39
057/44,Kings,Brooklyn,44,39
058/44,Kings,Brooklyn,44,39
059/44,Kings,Brooklyn,44,39
060/44,Kings,Brooklyn,44,39
061/44,Kings,Brooklyn,44,39
062/44,Kings,Brooklyn,44,39
063/44,Kings,Brooklyn,44,39
064/44,Kings,Brooklyn,44,39
065/44,Kings,Brooklyn,44,38
066/44,Kings,Brooklyn,44,38
067/44,Kings,Brooklyn,44,44
068/44,Kings,Brooklyn,44,39
069/44,Kings,Brooklyn,44,39
070/44,Kings,Brooklyn,44,39
071/44,Kings,Brooklyn,44,39
072/44,Kings,Brooklyn,44,39
073/44,Kings,Brooklyn,44,39
074/44,Kings,Brooklyn,44,39
075/44,Kings,Brooklyn,44,39
076/44,Kings,Brooklyn,44,39
077/44,Kings,Brooklyn,44,39
078/44,Kings,Brooklyn,44,39
079/44,Kings,Brooklyn,44,39
080/44,Kings,Brooklyn,44,39
081/44,Kings,Brooklyn,44,39
082/44,Kings,Brooklyn,44,39
083/44,Kings,Brooklyn,44,39
084/44,Kings,Brooklyn,44,39
085/44,Kings,Brooklyn,44,39
086/44,Kings,Brooklyn,44,39
087/44,Kings,Brooklyn,44,40
088/44,Kings,Brooklyn,44,39
089/44,Kings,Brooklyn,44,39
090/44,Kings,Brooklyn,44,40
092/44,Kings,Brooklyn,44,39
001/45,Kings,Brooklyn,45,48
002/45,Kings,Brooklyn,45,48
003/45,Kings,Brooklyn,45,48
004/45,Kings,Brooklyn,45,48
005/45,Kings,Brooklyn,45,48
006/45,Kings,Brooklyn,45,44
007/45,Kings,Brooklyn,45,44
008/45,Kings,Brooklyn,45,44
009/45,Kings,Brooklyn,45,44
010/45,Kings,Brooklyn,45,44
011/45,Kings,Brooklyn,45,48
012/45,Kings,Brooklyn,45,48
013/45,Kings,Brooklyn,45,48
014/45,Kings,Brooklyn,45,48
015/45,Kings,Brooklyn,45,48
016/45,Kings,Brooklyn,45,47
017/45,Kings,Brooklyn,45,44
018/45,Kings,Brooklyn,45,44
019/45,Kings,Brooklyn,45,47
020/45,Kings,Brooklyn,45,47
021/45,Kings,Brooklyn,45,47
022/45,Kings,Brooklyn,45,47
023/45,Kings,Brooklyn,45,48
024/45,Kings,Brooklyn,45,48
025/45,Kings,Brooklyn,45,48
026/45,Kings,Brooklyn,45,48
027/45,Kings,Brooklyn,45,48
028/45,Kings,Brooklyn,45,48
029/45,Kings,Brooklyn,45,48
030/45,Kings,Brooklyn,45,48
031/45,Kings,Brooklyn,45,47
032/45,Kings,Brooklyn,45,47
033/45,Kings,Brooklyn,45,47
034/45,Kings,Brooklyn,45,47
035/45,Kings,Brooklyn,45,47
036/45,Kings,Brooklyn,45,47
037/45,Kings,Brooklyn,45,48
038/45,Kings,Brooklyn,45,48
039/45,Kings,Brooklyn,45,48
040/45,Kings,Brooklyn,45,47
041/45,Kings,Brooklyn,45,47
042/45,Kings,Brooklyn,45,47
043/45,Kings,Brooklyn,45,47
044/45,Kings,Brooklyn,45,47
045/45,Kings,Brooklyn,45,47
046/45,Kings,Brooklyn,45,47
047/45,Kings,Brooklyn,45,47
048/45,Kings,Brooklyn,45,48
049/45,Kings,Brooklyn,45,48
050/45,Kings,Brooklyn,45,48
051/45,Kings,Brooklyn,45,48
052/45,Kings,Brooklyn,45,48
053/45,Kings,Brooklyn,45,48
054/45,Kings,Brooklyn,45,48
055/45,Kings,Brooklyn,45,44
056/45,Kings,Brooklyn,45,48
057/45,Kings,Brooklyn,45,48
058/45,Kings,Brooklyn,45,48
059/45,Kings,Brooklyn,45,48
060/45,Kings,Brooklyn,45,48
061/45,Kings,Brooklyn,45,48
062/45,Kings,Brooklyn,45,48
063/45,Kings,Brooklyn,45,48
064/45,Kings,Brooklyn,45,48
065/45,Kings,Brooklyn,45,48
066/45,Kings,Brooklyn,45,48
067/45,Kings,Brooklyn,45,48
068/45,Kings,Brooklyn,45,48
069/45,Kings,Brooklyn,45,48
070/45,Kings,Brooklyn,45,48
071/45,Kings,Brooklyn,45,48
072/45,Kings,Brooklyn,45,48
073/45,Kings,Brooklyn,45,48
074/45,Kings,Brooklyn,45,48
075/45,Kings,Brooklyn,45,48
076/45,Kings,Brooklyn,45,48
077/45,Kings,Brooklyn,45,48
078/45,Kings,Brooklyn,45,48
001/46,Kings,Brooklyn,46,47
002/46,Kings,Brooklyn,46,47
003/46,Kings,Brooklyn,46,47
004/46,Kings,Brooklyn,46,47
005/46,Kings,Brooklyn,46,47
006/46,Kings,Brooklyn,46,47
007/46,Kings,Brooklyn,46,47
008/46,Kings,Brooklyn,46,47
009/46,Kings,Brooklyn,46,47
010/46,Kings,Brooklyn,46,47
011/46,Kings,Brooklyn,46,47
012/46,Kings,Brooklyn,46,47
013/46,Kings,Brooklyn,46,47
014/46,Kings,Brooklyn,46,47
015/46,Kings,Brooklyn,46,47
016/46,Kings,Brooklyn,46,47
017/46,Kings,Brooklyn,46,48
018/46,Kings,Brooklyn,46,48
019/46,Kings,Brooklyn,46,48
020/46,Kings,Brooklyn,46,48
021/46,Kings,Brooklyn,46,48
022/46,Kings,Brooklyn,46,48
023/46,Kings,Brooklyn,46,48
024/46,Kings,Brooklyn,46,48
025/46,Kings,Brooklyn,46,48
026/46,Kings,Brooklyn,46,47
027/46,Kings,Brooklyn,46,47
028/46,Kings,Brooklyn,46,47
029/46,Kings,Brooklyn,46,47
030/46,Kings,Brooklyn,46,47
031/46,Kings,Brooklyn,46,43
032/46,Kings,Brooklyn,46,47
033/46,Kings,Brooklyn,46,47
034/46,Kings,Brooklyn,46,43
035/46,Kings,Brooklyn,46,43
036/46,Kings,Brooklyn,46,43
037/46,Kings,Brooklyn,46,43
038/46,Kings,Brooklyn,46,47
039/46,Kings,Brooklyn,46,47
040/46,Kings,Brooklyn,46,47
041/46,Kings,Brooklyn,46,43
042/46,Kings,Brooklyn,46,43
043/46,Kings,Brooklyn,46,48
044/46,Kings,Brooklyn,46,48
045/46,Kings,Brooklyn,46,48
046/46,Kings,Brooklyn,46,48
047/46,Kings,Brooklyn,46,43
048/46,Kings,Brooklyn,46,43
049/46,Kings,Brooklyn,46,43
050/46,Kings,Brooklyn,46,43
051/46,Kings,Brooklyn,46,43
052/46,Kings,Brooklyn,46,43
053/46,Kings,Brooklyn,46,43
054/46,Kings,Brooklyn,46,43
055/46,Kings,Brooklyn,46,43
056/46,Kings,Brooklyn,46,43
057/46,Kings,Brooklyn,46,43
058/46,Kings,Brooklyn,46,43
059/46,Kings,Brooklyn,46,43
060/46,Kings,Brooklyn,46,43
061/46,Kings,Brooklyn,46,43
062/46,Kings,Brooklyn,46,43
063/46,Kings,Brooklyn,46,43
064/46,Kings,Brooklyn,46,43
065/46,Kings,Brooklyn,46,43
066/46,Kings,Brooklyn,46,43
067/46,Kings,Brooklyn,46,43
068/46,Kings,Brooklyn,46,43
069/46,Kings,Brooklyn,46,43
070/46,Kings,Brooklyn,46,43
071/46,Kings,Brooklyn,46,43
072/46,Kings,Brooklyn,46,43
073/46,Kings,Brooklyn,46,48
074/46,Kings,Brooklyn,46,43
075/46,Kings,Brooklyn,46,43
076/46,Kings,Brooklyn,46,43
077/46,Kings,Brooklyn,46,47
078/46,Kings,Brooklyn,46,43
079/46,Kings,Brooklyn,46,43
080/46,Kings,Brooklyn,46,47
081/46,Kings,Brooklyn,46,48
082/46,Kings,Brooklyn,46,43
001/47,Kings,Brooklyn,47,43
002/47,Kings,Brooklyn,47,43
003/47,Kings,Brooklyn,47,43
004/47,Kings,Brooklyn,47,43
005/47,Kings,Brooklyn,47,43
006/47,Kings,Brooklyn,47,43
007/47,Kings,Brooklyn,47,47
008/47,Kings,Brooklyn,47,43
009/47,Kings,Brooklyn,47,43
010/47,Kings,Brooklyn,47,47
011/47,Kings,Brooklyn,47,47
012/47,Kings,Brooklyn,47,47
013/47,Kings,Brooklyn,47,43
014/47,Kings,Brooklyn,47,43
015/47,Kings,Brooklyn,47,43
016/47,Kings,Brooklyn,47,47
017/47,Kings,Brooklyn,47,47
018/47,Kings,Brooklyn,47,47
019/47,Kings,Brooklyn,47,44
020/47,Kings,Brooklyn,47,44
021/47,Kings,Brooklyn,47,44
022/47,Kings,Brooklyn,47,47
023/47,Kings,Brooklyn,47,44
024/47,Kings,Brooklyn,47,44
025/47,Kings,Brooklyn,47,44
026/47,Kings,Brooklyn,47,44
027/47,Kings,Brooklyn,47,44
028/47,Kings,Brooklyn,47,44
029/47,Kings,Brooklyn,47,44
030/47,Kings,Brooklyn,47,44
031/47,Kings,Brooklyn,47,44
032/47,Kings,Brooklyn,47,47
033/47,Kings,Brooklyn,47,47
034/47,Kings,Brooklyn,47,44
035/47,Kings,Brooklyn,47,47
036/47,Kings,Brooklyn,47,47
037/47,Kings,Brooklyn,47,47
038/47,Kings,Brooklyn,47,47
039/47,Kings,Brooklyn,47,47
040/47,Kings,Brooklyn,47,47
041/47,Kings,Brooklyn,47,43
042/47,Kings,Brooklyn,47,47
043/47,Kings,Brooklyn,47,47
044/47,Kings,Brooklyn,47,47
045/47,Kings,Brooklyn,47,47
046/47,Kings,Brooklyn,47,47
047/47,Kings,Brooklyn,47,47
048/47,Kings,Brooklyn,47,47
049/47,Kings,Brooklyn,47,47
050/47,Kings,Brooklyn,47,47
051/47,Kings,Brooklyn,47,47
052/47,Kings,Brooklyn,47,47
053/47,Kings,Brooklyn,47,47
054/47,Kings,Brooklyn,47,47
055/47,Kings,Brooklyn,47,47
056/47,Kings,Brooklyn,47,47
057/47,Kings,Brooklyn,47,43
058/47,Kings,Brooklyn,47,43
059/47,Kings,Brooklyn,47,47
060/47,Kings,Brooklyn,47,43
061/47,Kings,Brooklyn,47,47
062/47,Kings,Brooklyn,47,47
063/47,Kings,Brooklyn,47,47
064/47,Kings,Brooklyn,47,47
065/47,Kings,Brooklyn,47,47
066/47,Kings,Brooklyn,47,44
067/47,Kings,Brooklyn,47,43
068/47,Kings,Brooklyn,47,47
069/47,Kings,Brooklyn,47,44
070/47,Kings,Brooklyn,47,47
071/47,Kings,Brooklyn,47,43
072/47,Kings,Brooklyn,47,43
001/48,Kings,Brooklyn,48,38
002/48,Kings,Brooklyn,48,38
003/48,Kings,Brooklyn,48,44
004/48,Kings,Brooklyn,48,44
005/48,Kings,Brooklyn,48,44
006/48,Kings,Brooklyn,48,44
007/48,Kings,Brooklyn,48,44
008/48,Kings,Brooklyn,48,39
009/48,Kings,Brooklyn,48,44
010/48,Kings,Brooklyn,48,44
011/48,Kings,Brooklyn,48,39
012/48,Kings,Brooklyn,48,44
013/48,Kings,Brooklyn,48,44
014/48,Kings,Brooklyn,48,44
015/48,Kings,Brooklyn,48,39
016/48,Kings,Brooklyn,48,44
017/48,Kings,Brooklyn,48,44
018/48,Kings,Brooklyn,48,44
019/48,Kings,Brooklyn,48,44
020/48,Kings,Brooklyn,48,44
021/48,Kings,Brooklyn,48,44
022/48,Kings,Brooklyn,48,44
023/48,Kings,Brooklyn,48,44
024/48,Kings,Brooklyn,48,44
025/48,Kings,Brooklyn,48,44
026/48,Kings,Brooklyn,48,44
027/48,Kings,Brooklyn,48,44
028/48,Kings,Brooklyn,48,44
029/48,Kings,Brooklyn,48,44
030/48,Kings,Brooklyn,48,44
031/48,Kings,Brooklyn,48,44
032/48,Kings,Brooklyn,48,44
033/48,Kings,Brooklyn,48,44
034/48,Kings,Brooklyn,48,44
035/48,Kings,Brooklyn,48,47
036/48,Kings,Brooklyn,48,44
037/48,Kings,Brooklyn,48,47
038/48,Kings,Brooklyn,48,44
039/48,Kings,Brooklyn,48,44
040/48,Kings,Brooklyn,48,44
041/48,Kings,Brooklyn,48,44
042/48,Kings,Brooklyn,48,44
043/48,Kings,Brooklyn,48,44
044/48,Kings,Brooklyn,48,44
045/48,Kings,Brooklyn,48,44
046/48,Kings,Brooklyn,48,44
047/48,Kings,Brooklyn,48,44
048/48,Kings,Brooklyn,48,44
049/48,Kings,Brooklyn,48,48
050/48,Kings,Brooklyn,48,44
051/48,Kings,Brooklyn,48,44
052/48,Kings,Brooklyn,48,44
053/48,Kings,Brooklyn,48,48
054/48,Kings,Brooklyn,48,44
055/48,Kings,Brooklyn,48,44
056/48,Kings,Brooklyn,48,45
057/48,Kings,Brooklyn,48,45
058/48,Kings,Brooklyn,48,44
059/48,Kings,Brooklyn,48,44
060/48,Kings,Brooklyn,48,44
061/48,Kings,Brooklyn,48,44
062/48,Kings,Brooklyn,48,44
063/48,Kings,Brooklyn,48,45
064/48,Kings,Brooklyn,48,44
065/48,Kings,Brooklyn,48,44
066/48,Kings,Brooklyn,48,44
067/48,Kings,Brooklyn,48,44
068/48,Kings,Brooklyn,48,44
069/48,Kings,Brooklyn,48,47
070/48,Kings,Brooklyn,48,48
071/48,Kings,Brooklyn,48,44
072/48,Kings,Brooklyn,48,44
001/49,Kings,Brooklyn,49,38
002/49,Kings,Brooklyn,49,38
003/49,Kings,Brooklyn,49,38
004/49,Kings,Brooklyn,49,38
005/49,Kings,Brooklyn,49,38
006/49,Kings,Brooklyn,49,38
007/49,Kings,Brooklyn,49,38
008/49,Kings,Brooklyn,49,38
009/49,Kings,Brooklyn,49,38
010/49,Kings,Brooklyn,49,38
011/49,Kings,Brooklyn,49,38
012/49,Kings,Brooklyn,49,38
013/49,Kings,Brooklyn,49,38
014/49,Kings,Brooklyn,49,38
015/49,Kings,Brooklyn,49,38
016/49,Kings,Brooklyn,49,38
017/49,Kings,Brooklyn,49,38
018/49,Kings,Brooklyn,49,38
019/49,Kings,Brooklyn,49,43
020/49,Kings,Brooklyn,49,38
021/49,Kings,Brooklyn,49,43
022/49,Kings,Brooklyn,49,43
023/49,Kings,Brooklyn,49,47
024/49,Kings,Brooklyn,49,47
025/49,Kings,Brooklyn,49,47
026/49,Kings,Brooklyn,49,43
027/49,Kings,Brooklyn,49,43
028/49,Kings,Brooklyn,49,43
029/49,Kings,Brooklyn,49,43
030/49,Kings,Brooklyn,49,38
031/49,Kings,Brooklyn,49,38
032/49,Kings,Brooklyn,49,38
033/49,Kings,Brooklyn,49,38
034/49,Kings,Brooklyn,49,43
035/49,Kings,Brooklyn,49,47
036/49,Kings,Brooklyn,49,47
037/49,Kings,Brooklyn,49,38
038/49,Kings,Brooklyn,49,47
039/49,Kings,Brooklyn,49,47
040/49,Kings,Brooklyn,49,47
041/49,Kings,Brooklyn,49,47
042/49,Kings,Brooklyn,49,38
043/49,Kings,Brooklyn,49,47
044/49,Kings,Brooklyn,49,47
045/49,Kings,Brooklyn,49,47
046/49,Kings,Brooklyn,49,44
047/49,Kings,Brooklyn,49,43
048/49,Kings,Brooklyn,49,43
049/49,Kings,Brooklyn,49,43
050/49,Kings,Brooklyn,49,43
051/49,Kings,Brooklyn,49,43
052/49,Kings,Brooklyn,49,43
053/49,Kings,Brooklyn,49,43
054/49,Kings,Brooklyn,49,43
055/49,Kings,Brooklyn,49,43
056/49,Kings,Brooklyn,49,43
057/49,Kings,Brooklyn,49,44
058/49,Kings,Brooklyn,49,43
059/49,Kings,Brooklyn,49,43
060/49,Kings,Brooklyn,49,44
061/49,Kings,Brooklyn,49,38
062/49,Kings,Brooklyn,49,38
063/49,Kings,Brooklyn,49,43
064/49,Kings,Brooklyn,49,38
065/49,Kings,Brooklyn,49,43
066/49,Kings,Brooklyn,49,38
067/49,Kings,Brooklyn,49,38
068/49,Kings,Brooklyn,49,38
069/49,Kings,Brooklyn,49,38
070/49,Kings,Brooklyn,49,47
001/50,Kings,Brooklyn,50,33
002/50,Kings,Brooklyn,50,33
003/50,Kings,Brooklyn,50,33
004/50,Kings,Brooklyn,50,33
005/50,Kings,Brooklyn,50,33
006/50,Kings,Brooklyn,50,33
007/50,Kings,Brooklyn,50,33
008/50,Kings,Brooklyn,50,33
009/50,Kings,Brooklyn,50,33
010/50,Kings,Brooklyn,50,33
011/50,Kings,Brooklyn,50,33
012/50,Kings,Brooklyn,50,33
013/50,Kings,Brooklyn,50,33
014/50,Kings,Brooklyn,50,35
015/50,Kings,Brooklyn,50,34
016/50,Kings,Brooklyn,50,34
017/50,Kings,Brooklyn,50,34
018/50,Kings,Brooklyn,50,34
019/50,Kings,Brooklyn,50,34
020/50,Kings,Brooklyn,50,34
021/50,Kings,Brooklyn,50,34
022/50,Kings,Brooklyn,50,34
023/50,Kings,Brooklyn,50,34
024/50,Kings,Brooklyn,50,34
025/50,Kings,Brooklyn,50,34
026/50,Kings,Brooklyn,50,33
027/50,Kings,Brooklyn,50,33
028/50,Kings,Brooklyn,50,33
029/50,Kings,Brooklyn,50,33
030/50,Kings,Brooklyn,50,33
031/50,Kings,Brooklyn,50,33
032/50,Kings,Brooklyn,50,33
033/50,Kings,Brooklyn,50,33
034/50,Kings,Brooklyn,50,33
035/50,Kings,Brooklyn,50,33
036/50,Kings,Brooklyn,50,33
037/50,Kings,Brooklyn,50,33
038/50,Kings,Brooklyn,50,33
039/50,Kings,Brooklyn,50,33
040/50,Kings,Brooklyn,50,33
041/50,Kings,Brooklyn,50,33
042/50,Kings,Brooklyn,50,33
043/50,Kings,Brooklyn,50,33
044/50,Kings,Brooklyn,50,33
045/50,Kings,Brooklyn,50,33
046/50,Kings,Brooklyn,50,34
047/50,Kings,Brooklyn,50,33
048/50,Kings,Brooklyn,50,33
049/50,Kings,Brooklyn,50,34
050/50,Kings,Brooklyn,50,34
051/50,Kings,Brooklyn,50,34
052/50,Kings,Brooklyn,50,34
053/50,Kings,Brooklyn,50,34
054/50,Kings,Brooklyn,50,34
055/50,Kings,Brooklyn,50,34
056/50,Kings,Brooklyn,50,34
057/50,Kings,Brooklyn,50,33
058/50,Kings,Brooklyn,50,33
059/50,Kings,Brooklyn,50,33
060/50,Kings,Brooklyn,50,33
061/50,Kings,Brooklyn,50,33
062/50,Kings,Brooklyn,50,33
063/50,Kings,Brooklyn,50,33
064/50,Kings,Brooklyn,50,33
065/50,Kings,Brooklyn,50,33
066/50,Kings,Brooklyn,50,33
067/50,Kings,Brooklyn,50,33
068/50,Kings,Brooklyn,50,33
069/50,Kings,Brooklyn,50,33
070/50,Kings,Brooklyn,50,33
071/50,Kings,Brooklyn,50,33
072/50,Kings,Brooklyn,50,33
073/50,Kings,Brooklyn,50,33
074/50,Kings,Brooklyn,50,33
075/50,Kings,Brooklyn,50,33
076/50,Kings,Brooklyn,50,33
077/50,Kings,Brooklyn,50,33
078/50,Kings,Brooklyn,50,33
079/50,Kings,Brooklyn,50,33
080/50,Kings,Brooklyn,50,33
081/50,Kings,Brooklyn,50,33
082/50,Kings,Brooklyn,50,33
083/50,Kings,Brooklyn,50,33
084/50,Kings,Brooklyn,50,33
085/50,Kings,Brooklyn,50,33
086/50,Kings,Brooklyn,50,33
087/50,Kings,Brooklyn,50,35
088/50,Kings,Brooklyn,50,35
089/50,Kings,Brooklyn,50,35
090/50,Kings,Brooklyn,50,35
091/50,Kings,Brooklyn,50,35
092/50,Kings,Brooklyn,50,35
093/50,Kings,Brooklyn,50,35
094/50,Kings,Brooklyn,50,35
095/50,Kings,Brooklyn,50,33
096/50,Kings,Brooklyn,50,33
097/50,Kings,Brooklyn,50,33
098/50,Kings,Brooklyn,50,34
099/50,Kings,Brooklyn,50,35
100/50,Kings,Brooklyn,50,33
101/50,Kings,Brooklyn,50,33
102/50,Kings,Brooklyn,50,33
106/50,Kings,Brooklyn,50,33
001/51,Kings,Brooklyn,51,38
002/51,Kings,Brooklyn,51,38
003/51,Kings,Brooklyn,51,38
004/51,Kings,Brooklyn,51,38
005/51,Kings,Brooklyn,51,38
006/51,Kings,Brooklyn,51,38
007/51,Kings,Brooklyn,51,39
008/51,Kings,Brooklyn,51,39
009/51,Kings,Brooklyn,51,39
010/51,Kings,Brooklyn,51,38
011/51,Kings,Brooklyn,51,38
012/51,Kings,Brooklyn,51,38
013/51,Kings,Brooklyn,51,38
014/51,Kings,Brooklyn,51,38
015/51,Kings,Brooklyn,51,39
016/51,Kings,Brooklyn,51,38
017/51,Kings,Brooklyn,51,38
018/51,Kings,Brooklyn,51,44
019/51,Kings,Brooklyn,51,39
020/51,Kings,Brooklyn,51,39
021/51,Kings,Brooklyn,51,38
022/51,Kings,Brooklyn,51,39
023/51,Kings,Brooklyn,51,38
024/51,Kings,Brooklyn,51,38
025/51,Kings,Brooklyn,51,38
026/51,Kings,Brooklyn,51,38
027/51,Kings,Brooklyn,51,38
028/51,Kings,Brooklyn,51,38
029/51,Kings,Brooklyn,51,38
030/51,Kings,Brooklyn,51,38
031/51,Kings,Brooklyn,51,38
032/51,Kings,Brooklyn,51,38
033/51,Kings,Brooklyn,51,38
034/51,Kings,Brooklyn,51,38
035/51,Kings,Brooklyn,51,38
036/51,Kings,Brooklyn,51,38
037/51,Kings,Brooklyn,51,38
038/51,Kings,Brooklyn,51,38
039/51,Kings,Brooklyn,51,38
040/51,Kings,Brooklyn,51,38
041/51,Kings,Brooklyn,51,38
042/51,Kings,Brooklyn,51,38
043/51,Kings,Brooklyn,51,39
044/51,Kings,Brooklyn,51,39
045/51,Kings,Brooklyn,51,39
